fever,cough,fatigue,headache,body_pain,disease,precautions
1,1,1,0,1,Flu,"Rest and hydrate; Take over-the-counter medication; Stay home to avoid spreading it"
1,1,1,1,1,Cold,"Stay warm; Drink fluids; Use over-the-counter cold medications"
0,0,1,0,0,Allergy,"Avoid allergens; Take antihistamines; Consult a doctor for severe reactions"
1,1,1,1,1,Pneumonia,"Seek immediate medical care; Take prescribed antibiotics; Rest and stay hydrated"
0,0,0,1,0,Alzheimer's,"Consult a neurologist; Cognitive therapy; Healthy diet and physical activity"
1,0,1,0,0,Sinusitis,"Use nasal sprays; Take pain relievers; Drink warm fluids; Consult a doctor if symptoms persist"
0,1,1,1,1,Bronchitis,"Avoid smoke; Use inhalers; Take prescribed medications; Stay warm and hydrated"
1,1,1,1,0,Migraine,"Avoid bright lights and loud noises; Use pain relief medications; Rest in a dark room"
0,0,0,0,0,Depression,"Seek therapy or counseling; Consider antidepressant medication; Engage in regular physical activity"
0,1,0,0,1,Tuberculosis,"Seek immediate medical treatment; Complete prescribed antibiotic course; Avoid close contact with others"
1,1,0,1,1,Chickenpox,"Keep skin clean and dry; Use calamine lotion; Take antihistamines; Avoid scratching the rash"
1,0,1,0,1,Mononucleosis,"Rest; Stay hydrated; Avoid contact sports to prevent spleen rupture; Take over-the-counter pain relievers"
0,1,1,1,1,Asthma,"Use prescribed inhalers; Avoid allergens and triggers; Seek medical attention for difficulty breathing"
1,1,1,1,0,Typhoid,"Seek medical attention; Take prescribed antibiotics; Drink plenty of fluids; Eat light foods"
0,0,1,0,1,Anemia,"Increase iron-rich foods; Take iron supplements as prescribed; Consult a healthcare provider"
1,1,0,1,0,Covid-19,"Follow local guidelines; Isolate yourself; Take prescribed medications; Rest and stay hydrated"
0,0,0,1,0,Dementia,"Engage in memory exercises; Seek professional medical care; Provide a structured environment"
1,0,1,1,0,Chronic Fatigue Syndrome,"Consult a healthcare provider for management; Practice stress-reducing techniques; Stay hydrated"
0,1,0,0,1,Whooping Cough,"Seek medical treatment; Take prescribed antibiotics; Isolate from vulnerable individuals"
